fold_id,val_year,mean_ic,std_ic,n_dates,feature_importances
1,2005,0.044654669934012854,0.053804339977390744,12,"{'mom_12_1_rank': 4, 'mom_6_1_rank': 7, 'mom_3_1_rank': 14, 'short_reversal_rank': 21, 'realized_vol_12_rank': 18, 'realized_vol_3_rank': 15, 'vol_ratio_rank': 3, 'downside_vol_12_rank': 9, 'max_drawdown_12_rank': 21, 'skewness_12_rank': 5, 'kurtosis_12_rank': 3, 'positive_months_ratio_rank': 38, 'book_to_market_rank': 14, 'earnings_yield_rank': 13, 'sales_to_price_rank': 23, 'cash_flow_yield_rank': 5, 'gross_profitability_rank': 2, 'roa_rank': 1, 'roe_rank': 1, 'operating_leverage_rank': 5, 'leverage_rank': 34, 'current_ratio_rank': 2, 'accruals_rank': 0, 'capex_intensity_rank': 1, 'sales_growth_1y_rank': 0, 'earnings_growth_1y_rank': 5, 'asset_growth_1y_rank': 1, 'sue_rank': 14}"
2,2006,0.049374286308423554,0.07709499092518897,12,"{'mom_12_1_rank': 9, 'mom_6_1_rank': 7, 'mom_3_1_rank': 20, 'short_reversal_rank': 24, 'realized_vol_12_rank': 14, 'realized_vol_3_rank': 23, 'vol_ratio_rank': 7, 'downside_vol_12_rank': 9, 'max_drawdown_12_rank': 27, 'skewness_12_rank': 3, 'kurtosis_12_rank': 2, 'positive_months_ratio_rank': 37, 'book_to_market_rank': 19, 'earnings_yield_rank': 12, 'sales_to_price_rank': 21, 'cash_flow_yield_rank': 8, 'gross_profitability_rank': 3, 'roa_rank': 2, 'roe_rank': 1, 'operating_leverage_rank': 7, 'leverage_rank': 26, 'current_ratio_rank': 1, 'accruals_rank': 0, 'capex_intensity_rank': 2, 'sales_growth_1y_rank': 3, 'earnings_growth_1y_rank': 4, 'asset_growth_1y_rank': 0, 'sue_rank': 19}"
3,2007,-0.025326820900601576,0.07468090073952872,12,"{'mom_12_1_rank': 2, 'mom_6_1_rank': 2, 'mom_3_1_rank': 11, 'short_reversal_rank': 10, 'realized_vol_12_rank': 3, 'realized_vol_3_rank': 7, 'vol_ratio_rank': 1, 'downside_vol_12_rank': 6, 'max_drawdown_12_rank': 8, 'skewness_12_rank': 1, 'kurtosis_12_rank': 2, 'positive_months_ratio_rank': 8, 'book_to_market_rank': 3, 'earnings_yield_rank': 5, 'sales_to_price_rank': 9, 'cash_flow_yield_rank': 1, 'gross_profitability_rank': 0, 'roa_rank': 0, 'roe_rank': 0, 'operating_leverage_rank': 1, 'leverage_rank': 8, 'current_ratio_rank': 0, 'accruals_rank': 0, 'capex_intensity_rank': 0, 'sales_growth_1y_rank': 1, 'earnings_growth_1y_rank': 1, 'asset_growth_1y_rank': 0, 'sue_rank': 3}"
4,2008,0.022103959799831634,0.10550079672179126,12,"{'mom_12_1_rank': 10, 'mom_6_1_rank': 14, 'mom_3_1_rank': 24, 'short_reversal_rank': 30, 'realized_vol_12_rank': 18, 'realized_vol_3_rank': 18, 'vol_ratio_rank': 6, 'downside_vol_12_rank': 6, 'max_drawdown_12_rank': 31, 'skewness_12_rank': 3, 'kurtosis_12_rank': 5, 'positive_months_ratio_rank': 19, 'book_to_market_rank': 7, 'earnings_yield_rank': 12, 'sales_to_price_rank': 24, 'cash_flow_yield_rank': 9, 'gross_profitability_rank': 3, 'roa_rank': 1, 'roe_rank': 2, 'operating_leverage_rank': 9, 'leverage_rank': 27, 'current_ratio_rank': 1, 'accruals_rank': 0, 'capex_intensity_rank': 2, 'sales_growth_1y_rank': 3, 'earnings_growth_1y_rank': 2, 'asset_growth_1y_rank': 4, 'sue_rank': 20}"
5,2009,0.10923667441926782,0.10917341614411391,12,"{'mom_12_1_rank': 2, 'mom_6_1_rank': 1, 'mom_3_1_rank': 8, 'short_reversal_rank': 12, 'realized_vol_12_rank': 5, 'realized_vol_3_rank': 4, 'vol_ratio_rank': 0, 'downside_vol_12_rank': 2, 'max_drawdown_12_rank': 6, 'skewness_12_rank': 1, 'kurtosis_12_rank': 1, 'positive_months_ratio_rank': 14, 'book_to_market_rank': 0, 'earnings_yield_rank': 3, 'sales_to_price_rank': 6, 'cash_flow_yield_rank': 4, 'gross_profitability_rank': 4, 'roa_rank': 0, 'roe_rank': 1, 'operating_leverage_rank': 5, 'leverage_rank': 7, 'current_ratio_rank': 1, 'accruals_rank': 0, 'capex_intensity_rank': 0, 'sales_growth_1y_rank': 1, 'earnings_growth_1y_rank': 0, 'asset_growth_1y_rank': 2, 'sue_rank': 3}"
6,2010,0.049341626042128515,0.12840794103011738,12,"{'mom_12_1_rank': 6, 'mom_6_1_rank': 2, 'mom_3_1_rank': 17, 'short_reversal_rank': 32, 'realized_vol_12_rank': 21, 'realized_vol_3_rank': 19, 'vol_ratio_rank': 4, 'downside_vol_12_rank': 11, 'max_drawdown_12_rank': 24, 'skewness_12_rank': 7, 'kurtosis_12_rank': 2, 'positive_months_ratio_rank': 11, 'book_to_market_rank': 9, 'earnings_yield_rank': 11, 'sales_to_price_rank': 22, 'cash_flow_yield_rank': 10, 'gross_profitability_rank': 7, 'roa_rank': 2, 'roe_rank': 2, 'operating_leverage_rank': 6, 'leverage_rank': 29, 'current_ratio_rank': 0, 'accruals_rank': 0, 'capex_intensity_rank': 0, 'sales_growth_1y_rank': 2, 'earnings_growth_1y_rank': 4, 'asset_growth_1y_rank': 2, 'sue_rank': 17}"
7,2011,0.01453256531331207,0.1077925715266057,12,"{'mom_12_1_rank': 2, 'mom_6_1_rank': 1, 'mom_3_1_rank': 9, 'short_reversal_rank': 14, 'realized_vol_12_rank': 3, 'realized_vol_3_rank': 6, 'vol_ratio_rank': 3, 'downside_vol_12_rank': 5, 'max_drawdown_12_rank': 7, 'skewness_12_rank': 2, 'kurtosis_12_rank': 2, 'positive_months_ratio_rank': 7, 'book_to_market_rank': 1, 'earnings_yield_rank': 1, 'sales_to_price_rank': 9, 'cash_flow_yield_rank': 4, 'gross_profitability_rank': 3, 'roa_rank': 2, 'roe_rank': 2, 'operating_leverage_rank': 2, 'leverage_rank': 5, 'current_ratio_rank': 0, 'accruals_rank': 0, 'capex_intensity_rank': 0, 'sales_growth_1y_rank': 0, 'earnings_growth_1y_rank': 0, 'asset_growth_1y_rank': 1, 'sue_rank': 2}"
8,2012,0.03651190129864879,0.08154602960047731,12,"{'mom_12_1_rank': 4, 'mom_6_1_rank': 7, 'mom_3_1_rank': 7, 'short_reversal_rank': 19, 'realized_vol_12_rank': 18, 'realized_vol_3_rank': 15, 'vol_ratio_rank': 2, 'downside_vol_12_rank': 7, 'max_drawdown_12_rank': 17, 'skewness_12_rank': 2, 'kurtosis_12_rank': 2, 'positive_months_ratio_rank': 9, 'book_to_market_rank': 2, 'earnings_yield_rank': 4, 'sales_to_price_rank': 20, 'cash_flow_yield_rank': 5, 'gross_profitability_rank': 4, 'roa_rank': 1, 'roe_rank': 3, 'operating_leverage_rank': 7, 'leverage_rank': 15, 'current_ratio_rank': 0, 'accruals_rank': 1, 'capex_intensity_rank': 0, 'sales_growth_1y_rank': 0, 'earnings_growth_1y_rank': 1, 'asset_growth_1y_rank': 4, 'sue_rank': 10}"
9,2013,0.04848645216116506,0.07187038634256701,12,"{'mom_12_1_rank': 5, 'mom_6_1_rank': 7, 'mom_3_1_rank': 9, 'short_reversal_rank': 23, 'realized_vol_12_rank': 21, 'realized_vol_3_rank': 13, 'vol_ratio_rank': 4, 'downside_vol_12_rank': 9, 'max_drawdown_12_rank': 20, 'skewness_12_rank': 3, 'kurtosis_12_rank': 1, 'positive_months_ratio_rank': 14, 'book_to_market_rank': 6, 'earnings_yield_rank': 6, 'sales_to_price_rank': 25, 'cash_flow_yield_rank': 2, 'gross_profitability_rank': 4, 'roa_rank': 2, 'roe_rank': 3, 'operating_leverage_rank': 6, 'leverage_rank': 15, 'current_ratio_rank': 0, 'accruals_rank': 1, 'capex_intensity_rank': 0, 'sales_growth_1y_rank': 0, 'earnings_growth_1y_rank': 3, 'asset_growth_1y_rank': 2, 'sue_rank': 13}"
10,2014,0.005376643936211977,0.08049935119020639,12,"{'mom_12_1_rank': 10, 'mom_6_1_rank': 10, 'mom_3_1_rank': 25, 'short_reversal_rank': 35, 'realized_vol_12_rank': 29, 'realized_vol_3_rank': 21, 'vol_ratio_rank': 6, 'downside_vol_12_rank': 8, 'max_drawdown_12_rank': 36, 'skewness_12_rank': 9, 'kurtosis_12_rank': 4, 'positive_months_ratio_rank': 28, 'book_to_market_rank': 15, 'earnings_yield_rank': 10, 'sales_to_price_rank': 21, 'cash_flow_yield_rank': 13, 'gross_profitability_rank': 6, 'roa_rank': 3, 'roe_rank': 6, 'operating_leverage_rank': 15, 'leverage_rank': 23, 'current_ratio_rank': 1, 'accruals_rank': 1, 'capex_intensity_rank': 2, 'sales_growth_1y_rank': 2, 'earnings_growth_1y_rank': 0, 'asset_growth_1y_rank': 5, 'sue_rank': 28}"
