feature,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
accruals,0.07833741163675911,0.7284473717330201,0.877029833836858,0.8812491115007345,0.8847568070747033,0.953643329684451,0.9675585284280936,0.9632948392352293,0.9732710182219189,0.9808327060049801,0.9749522394396094,0.9721170033670034,0.9688886541305726,0.9667879657629029,0.9599094106876114,0.9658641239570918,0.9747082686432614,0.9661111111111111,0.9655927899218244,0.9660103731305705,0.9595361337845909,0.927285962712824,0.9645286894013949,0.9826773169088634,0.9762527671563694
asset_growth_1y,0.00010195758564437195,0.08843394722490246,0.7620845921450151,0.9516656399564043,0.9492669304165697,0.9315120651087525,0.9288580984233158,0.9226604053859792,0.9372997952003361,0.9610863396838265,0.9539375928677564,0.9422874579124579,0.9394675681386013,0.9361385884885449,0.9185178046547487,0.9146126340882003,0.942204637652126,0.9406060606060606,0.9315839267041777,0.9297044161337429,0.9193211228349591,0.8671897116512315,0.8946985580420179,0.9562602251948802,0.9621151137049708
book_to_market,0.07911908646003263,0.7871376431597936,0.9689388217522659,0.9783916978628631,0.972306260181522,0.9673028413688068,0.9676540850453894,0.9632948392352293,0.9751089639237515,0.9813538710985003,0.9749522394396094,0.9728535353535354,0.9695225015846186,0.9672492440161959,0.9600057822965354,0.9653873659117997,0.9746081033705615,0.9661616161616161,0.9646965094856346,0.9659096631250315,0.9601831574756122,0.9320176325474178,0.9652132985323691,0.982196131267443,0.9759508955524251
capex_intensity,0.0764342033713975,0.7123379619918614,0.8596110271903323,0.877600341183718,0.8835466604607866,0.9529770120413117,0.9665074056378404,0.961186448799655,0.9691225122092108,0.977705715443859,0.972829547866695,0.9708017676767676,0.9668814705260934,0.9643278150786736,0.9575964920734351,0.9645292014302741,0.9730054590073621,0.9645959595959596,0.9642483692675398,0.9648018530641019,0.9581425442962374,0.9263558053949125,0.9626460142912157,0.9803676258300452,0.9733849869188972
cash_flow_yield,0.07833741163675911,0.7284473717330201,0.877029833836858,0.8812491115007345,0.8847568070747033,0.9540716767407549,0.9676540850453894,0.9632948392352293,0.9732710182219189,0.9808327060049801,0.9749522394396094,0.9721170033670034,0.9688886541305726,0.9667879657629029,0.9599094106876114,0.9658641239570918,0.9747082686432614,0.9661111111111111,0.9655927899218244,0.9660103731305705,0.9595361337845909,0.9279734702956283,0.9646998416841385,0.9826773169088634,0.9762527671563694
current_ratio,0.07555057096247961,0.6607375089147124,0.785309667673716,0.7872340425531915,0.7901326506865255,0.7884917424206368,0.7938843764930722,0.8049738847093776,0.8248175182481752,0.8468932769702936,0.8408511993207387,0.8447495791245792,0.8329283752376928,0.8292245400030752,0.8189177468317833,0.8127771156138259,0.8162468072319327,0.8032828282828283,0.8008265697355973,0.8004431240243718,0.8035536531953016,0.7866704412181017,0.8108767275683539,0.8272062361659128,0.8177198631515395
downside_vol_12,0.4858278955954323,0.9465536770566766,0.9594977341389728,0.966165947969483,0.9504770770304863,0.9522155061634382,0.9606306736741519,0.9470027313239734,0.9664968754923069,0.9768371069546586,0.9604118021651454,0.9608059764309764,0.9649799281639552,0.9362923479063092,0.9459837131980918,0.9565196662693682,0.9773125657334603,0.9534343434343434,0.9499078822885028,0.9633415579837857,0.94764085208043,0.8972378371820278,0.9709469000042789,0.9844577037821192,0.9742906017307306
earnings_growth_1y,0.00010195758564437195,0.08805638293409405,0.7617069486404834,0.9515708667014169,0.9492669304165697,0.9315120651087525,0.9293358815097945,0.9228041592793138,0.9372997952003361,0.9595807516358793,0.9537783909997878,0.9422874579124579,0.9394675681386013,0.9361385884885449,0.9180359466101287,0.9145172824791419,0.942204637652126,0.9404545454545454,0.9310361997709505,0.9295533511254344,0.918076846506072,0.8658955797306588,0.8907620555389157,0.9551534982196132,0.9619641779029986
earnings_yield,0.07911908646003263,0.7867600788689852,0.9687972054380665,0.9782969246078757,0.972306260181522,0.9673028413688068,0.9676540850453894,0.9632948392352293,0.9732710182219189,0.9808327060049801,0.9749522394396094,0.9728535353535354,0.9695225015846186,0.9667879657629029,0.9603912687322315,0.9659594755661501,0.9752090950067611,0.9667171717171718,0.9657421699945228,0.9660103731305705,0.9598347601035238,0.9273668459578598,0.9645286894013949,0.9826773169088634,0.9762527671563694
gross_profitability,0.07911908646003263,0.7867600788689852,0.9687972054380665,0.9782969246078757,0.972306260181522,0.9668744943125029,0.9675585284280936,0.9632948392352293,0.9732710182219189,0.9808327060049801,0.9749522394396094,0.9728535353535354,0.9695225015846186,0.9667879657629029,0.9603912687322315,0.9659594755661501,0.9752090950067611,0.9667171717171718,0.9657421699945228,0.9660103731305705,0.9598347601035238,0.9273668459578598,0.9645286894013949,0.9826773169088634,0.9762527671563694
