feature,importance
positive_months_ratio_rank,245.26459312438965
short_reversal_rank,123.43559795618057
max_drawdown_12_rank,93.56988477706909
mom_3_1_rank,91.72563031315804
realized_vol_12_rank,83.6433636546135
leverage_rank,68.79795023798943
sue_rank,62.33500996232033
realized_vol_3_rank,53.18675285577774
sales_to_price_rank,41.64319524168968
earnings_yield_rank,38.65005323290825
operating_leverage_rank,36.13881927728653
cash_flow_yield_rank,31.066635131835938
mom_12_1_rank,30.115753918886185
gross_profitability_rank,26.310991138219833
book_to_market_rank,26.0812069773674
skewness_12_rank,24.365087062120438
mom_6_1_rank,22.790612995624542
downside_vol_12_rank,17.659118950366974
sales_growth_1y_rank,15.810746967792511
capex_intensity_rank,13.652827143669128
asset_growth_1y_rank,12.448415011167526
roa_rank,12.076896965503693
kurtosis_12_rank,11.474557131528854
current_ratio_rank,10.267857015132904
vol_ratio_rank,8.409012109041214
earnings_growth_1y_rank,8.22922995686531
roe_rank,4.1684030294418335
accruals_rank,3.6165580451488495
